Mot	Oui	Pe_oui	Pe_non	Non
may	0	0	0	2
kickstarter	0	0	0	2
décadence	1	1	0	0
jalouses	2	0	0	0
balek	2	0	0	0
parcouru	0	0	0	2
masta	0	0	1	1
courser	0	1	0	1
chacal	2	0	0	0
d8	0	0	0	2
jaja	0	1	1	0
cat	0	0	0	2
moii	0	0	0	2
jvoulai	0	0	0	2
nourriture	0	0	1	1
biscuit	0	0	0	2
niker	0	0	1	1
jrigole	2	0	0	0
dépassé	0	1	0	1
mem	0	0	0	2
px	0	0	0	2
nb	0	0	0	2
ow	0	1	0	1
vec	0	0	0	2
penserais	1	1	0	0
bip	2	0	0	0
ouui	0	0	0	2
apl	0	0	0	2
mouf	0	0	0	2
douceur	0	1	0	1
venais	1	0	0	1
ment	0	0	1	1
fatiguante	1	1	0	0
géants	0	0	0	2
kalash	0	0	0	2
grrrr	0	0	0	2
souvenez	0	0	0	2
jvien	1	1	0	0
repenser	1	1	0	0
alr	0	0	1	1
update	2	0	0	0
rageuse	0	0	0	2
trempé	0	1	0	1
coolos	0	2	0	0
licornes	2	0	0	0
xa	0	0	0	2
ogre	2	0	0	0
paniqué	0	1	0	1
tou	0	0	0	2
chico	0	0	0	2
teh	0	2	0	0
bide	0	0	0	2
remember	0	2	0	0
oreillette	1	0	0	1
ra	0	0	0	2
vierge	0	1	0	1
surpris	0	0	0	2
mdrrrrrrrrrrrrrrr	0	0	0	2
nes	0	0	0	2
harceler	0	1	0	1
vé	0	0	0	2
journalisme	0	0	0	2
switch	0	0	0	2
edge	0	0	0	2
hui	0	0	0	2
bomber	0	0	2	0
sheitan	1	0	0	1
interêt	1	0	0	1
portabilité	1	0	0	1
adoooore	2	0	0	0
deso	0	2	0	0
gray	0	0	0	2
dérouler	2	0	0	0
fermée	2	0	0	0
bs	0	2	1	0
mohammed	0	0	0	2
mega	1	0	1	0
ju	0	2	0	0
fi	0	0	0	2
fantastiques	0	0	0	2
posted	0	0	0	2
sic	0	0	0	2
xoxo	0	0	0	2
nail	0	1	0	1
zumba	2	0	0	0
insultant	1	0	1	0
hamza	0	1	0	1
fix	1	1	0	0
mooooort	2	0	0	0
mek	0	2	0	0
ar	0	1	0	1
ahahahaha	0	0	0	2
nerf	0	1	0	1
retenir	1	1	0	0
gym	0	0	0	2
qt	0	0	0	2
oops	0	0	0	3
ecole	0	0	0	2
spécialistes	0	0	0	2
zik	0	0	0	3
gt	0	0	0	2
menage	0	0	0	2
utilisée	0	0	1	1
jvou	0	0	0	2
vocaux	2	1	0	0
pui	0	0	0	2
breaking	0	0	0	2
dancer	0	0	0	2
mener	0	2	1	0
rappelons	1	2	0	0
ouuuuf	0	2	0	0
grr	0	0	0	3
adapte	1	0	0	2
flou	3	0	0	0
royale	0	0	0	2
papou	0	0	0	2
grandissez	2	0	0	0
moooort	1	0	0	1
sexuelle	0	0	0	2
cava	1	1	0	1
forcement	0	0	1	1
posey	0	0	0	2
soda	0	0	0	3
burn	0	0	1	1
add	0	1	0	1
veine	1	0	0	1
fouille	0	0	0	2
lesquels	0	1	0	1
mooort	2	0	0	0
mood	1	1	0	0
av	2	0	0	0
mt	1	0	0	1
kabyle	0	0	0	2
lover	1	0	0	1
désole	2	0	0	0
aa	0	0	0	2
watching	0	2	0	0
bécane	0	0	0	2
20minutes	0	0	0	2
ツ	0	0	0	2
réveilles	1	1	0	0
2min	0	1	1	0
flem	2	0	0	0
things	0	0	0	2
édouard	0	0	0	2
level	1	0	1	0
reseaux	1	1	0	0
ap	0	1	1	0
parterre	0	0	1	1
foutaises	2	0	0	0
michto	1	1	0	0
monstres	0	0	0	2
rime	1	0	0	1
excusé	0	0	1	1
sh	0	0	0	2
amiens	0	0	0	2
équipage	0	0	0	2
felicitation	0	0	0	2
igo	0	0	0	2
volontiers	0	1	1	0
salauds	2	0	0	0
affilée	0	0	0	2
andy	0	0	0	2
inrocks	0	0	0	2
pare	0	0	0	2
tracer	0	0	0	2
nègre	0	1	0	1
êtres	1	0	0	1
pierres	0	0	0	2
5s	0	1	0	1
keske	0	2	0	0
ross	0	0	0	2
ye	0	0	0	2
von	0	0	0	2
joins	0	0	0	2
sensation	1	0	0	1
haaa	0	1	0	1
young	0	0	0	2
trot	0	0	1	1
explosé	2	0	0	0
daronnes	1	1	0	0
mechante	0	0	0	2
zoulette	1	1	0	0
wa	1	0	0	1
never	0	1	0	1
lmec	0	0	1	1
pablo	0	0	0	2
grrr	0	0	0	2
daronne	1	0	1	0
cha	0	0	0	2
mantes	0	0	0	2
hin	2	0	0	0
mainstream	2	0	0	0
oki	0	1	0	1
princess	0	0	0	2
bots	0	1	0	1
farmer	0	1	0	1
caire	0	0	0	2
cetait	0	0	1	1
yeaaah	0	0	0	2
racontent	0	0	0	2
teste	0	1	0	1
réfugiés	0	0	1	1
favorise	0	0	1	1
envole	0	1	1	0
fcb	0	0	0	2
elvis	0	0	0	2
mignons	0	0	1	1
luiz	0	0	0	2
encaisse	0	2	0	0
send	1	1	0	0
memes	0	0	0	2
ouii	0	0	0	2
religions	0	0	1	1
suivie	0	0	0	2
soutenu	0	0	0	2
anaïs	0	0	0	2
empeche	1	0	0	1
abords	1	0	0	1
suicider	0	0	0	2
abondance	1	0	0	1
xx	0	0	0	2
marins	1	0	0	1
mag	0	0	1	1
chrétienne	0	0	0	2
épuisante	1	1	0	0
rapporté	0	1	0	1
premiere	0	0	0	3
marocaines	0	1	0	1
koffi	0	0	0	2
mayenne	0	0	0	2
donald	0	0	0	2
attentat	0	0	0	2
flm	1	1	0	0
khaled	0	0	0	2
généreuse	0	0	0	2
gross	0	1	0	1
accuse	0	1	0	1
ibn	0	0	0	2
boa	0	0	0	2
glass	0	0	0	2
sourate	0	0	1	1
sr	0	1	0	1
dab	0	0	1	1
prophète	0	0	1	1
goal	1	1	0	0
abattoir	0	0	0	2
persuadé	0	0	1	1
ghost	0	0	0	2
tune	0	1	0	1
gigi	0	0	0	2
fh	0	0	0	2
ortho	0	0	0	2
sereine	1	0	0	1
centime	0	0	0	2
pass	0	0	0	2
créatures	0	0	0	2
femelle	0	0	1	1
college	0	0	0	2
quittes	1	0	0	1
céleste	1	0	0	1
rocket	0	0	0	2
looooool	0	0	0	2
conte	0	0	0	2
accords	0	0	0	2
exclusives	1	0	0	1
lr	0	0	0	2
ressens	0	1	0	1
sum	0	0	0	2
rangement	0	0	0	2
matte	0	0	1	2
parce-	0	0	0	2
rhône-alpes	0	0	0	2
jserais	0	0	0	2
miam	0	1	0	1
teuf	0	2	0	0
cke	0	0	1	1
eps	0	1	0	1
num	0	1	0	1
jl	0	0	0	2
esr	0	0	0	2
mirror	0	0	0	2
ti	0	1	0	1
wee	0	1	0	1
virtuelle	0	1	0	1
dja	2	0	0	0
plane	0	0	0	2
edouard	0	0	0	2
recrutez	0	1	0	1
bourrer	0	1	0	1
vérifier	0	1	0	1
mentionnez	0	0	0	2
diams	0	0	0	2
resté	0	1	0	1
discute	0	1	1	0
ahhaha	0	0	0	2
dejeuner	0	1	1	0
ouaaaais	0	0	0	2
prépares	0	0	0	2
celia	0	0	0	2
feed	1	1	0	0
finie	1	0	0	1
roro	0	1	0	1
dare	0	0	0	2
respectez	0	0	0	2
metro	0	0	0	2
bise	1	1	0	0
ossi	0	0	1	1
fatigues	0	0	0	2
tsa	0	0	0	2
spasse	0	1	0	1
prete	0	0	1	1
roméo	0	0	0	2
sla	0	0	0	2
vai	0	2	0	0
jm	0	2	0	0
déso	0	2	0	0
suivent	0	0	0	2
lèvent	1	0	1	1
fe	0	0	1	1
asi	0	0	0	2
lydia	0	0	0	2
ouuuuui	0	0	0	2
flammes	1	0	0	1
déco	0	0	0	2
footing	0	1	0	1
staff	0	0	0	2
jadore	0	1	0	1
tavu	1	1	0	0
negro	0	0	0	2
inchallah	0	1	0	1
çava	1	0	0	1
mouahahaha	1	0	0	1
meunier	0	0	0	2
booon	0	2	0	0
wai	0	0	0	2
s4	0	1	0	1
x'	0	0	0	2
noté	0	1	0	1
bizz	0	0	1	1
aire	0	0	1	1
jveu	0	1	0	1

